training_exp,epoch,training_accuracy,val_accuracy,training_loss,val_loss
18,4,0.9034,0,0,0
18,5,0.9094,0,0,0
18,6,0.9164,0,0,0
18,7,0.9222,0,0,0
18,8,0.9256,0,0,0
18,9,0.9280,0,0,0
19,0,0.8548,0,0,0
19,1,0.9242,0,0,0
19,2,0.9332,0,0,0
19,3,0.9422,0,0,0
19,4,0.9404,0,0,0
19,5,0.9476,0,0,0
19,6,0.9520,0,0,0
19,7,0.9584,0,0,0
19,8,0.9548,0,0,0
19,9,0.9576,0,0,0
